127.0.0.1 - - [04/Apr/2024:08:47:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Apr/2024:08:47:36 +0900] "GET /pro01/ HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [04/Apr/2024:08:47:36 +0900] "GET /pro01/js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:08:47:36 +0900] "GET /pro01/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:08:47:36 +0900] "GET /pro01/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:08:47:36 +0900] "GET /pro01/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:08:47:54 +0900] "GET /pro01/ HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [04/Apr/2024:08:47:54 +0900] "GET /pro01/images/favicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2024:08:49:22 +0900] "GET /pro01/ HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [04/Apr/2024:08:49:42 +0900] "GET /pro01/ HTTP/1.1" 200 1982
